,Total Profit,Total Profit,Total Profit,Total Profit
Order Priority,C,H,L,M
Country,,,,
Afghanistan,373737.19815485994,441761.7931833333,355140.2634646962,424069.0910361842
Albania,409870.22922818793,357954.16326194396,446503.1429441624,371063.9918046358
Algeria,347220.4834328358,396901.3358151261,384001.4960620915,447326.12594594597
Andorra,423379.31305,362301.2075792988,404387.285089141,362707.77124590165
Angola,429250.50018092105,384418.0120608108,390004.03449832776,340725.7773693086
Antigua and Barbuda ,374904.6218677686,361521.0872491909,419377.5793203884,452730.75363333337
Armenia,436309.0704942339,399856.1101145663,406639.11272727273,331510.83660098526
Australia,363124.4078114478,445115.4312244898,370279.6339672131,421265.016293823
Austria,437673.95947019866,421636.9887269682,374310.79872990353,366078.60542429285
Azerbaijan,354616.7726722689,402546.3344444444,363278.0863790186,405599.71125
Bahrain,356449.2756360708,402585.74639477977,375602.9693800979,418294.7091638796
Bangladesh,347736.0241373534,403306.9344182125,401055.9948514851,441644.31905
Barbados,370866.5736318408,341021.84528239205,406642.00602006685,407049.8956528926
Belarus,399752.70125412545,441247.0698509934,333732.0723966942,379611.52714285714
Belgium,370261.4736177474,440323.07385993487,371099.6894590164,406124.9946812081
Belize,370675.6856143345,361500.5912151068,448172.9408943089,397467.8006576728
Benin,420444.55352180934,426043.1339398998,372199.5867681895,368523.8331570248
Bhutan,339714.9131748727,371259.87556836905,387976.7640856672,449548.40308207704
Bosnia and Herzegovina,370490.2684254606,412898.00081530784,379584.6469011725,436704.3002529511
Botswana,425787.91648739495,436014.14937086095,349865.89455138665,405554.3147126437
Brunei,350726.9186655405,406134.24885860307,384004.3920826446,427481.7532569558
Bulgaria,369560.6774874372,435561.8413907285,357226.3410963455,409240.4659933222
Burkina Faso,405981.1016586151,419153.42173986486,349517.47514851484,362515.9785950413
Burundi,388005.1689279732,423061.4482119205,349244.7268316832,363628.6613073005
Cambodia,374074.0650501672,389016.6144147157,399863.99867330014,466419.4532663317
Cameroon,389236.9111467116,464754.18235973595,363706.1718403909,393499.2399835526
Canada,404510.175805921,432573.7832576986,353062.7140134907,379301.1927986907
Cape Verde,363182.0108278146,418065.23530944623,341160.445638126,431963.59840130503
Central African Republic,339008.18485856906,388058.92230894306,390937.3408542714,444589.6623519458
Chad,339221.86230519484,364361.42341346154,402367.40657377045,435700.6971356784
China,371460.9166944908,353704.23488448845,432246.34105785127,404705.1587070376
Comoros,393616.5042524917,340696.5600652528,442134.41232520324,418663.0365829146
Costa Rica,413399.98488486843,350930.6363054187,452827.119215359,411105.98788079474
Cote d'Ivoire,398748.58601296594,352878.1248553055,455414.56583747925,388423.44342192693
Croatia,361825.16477049177,403503.57262103504,367516.71138564276,408137.46470784646
Cuba,416529.1258,383883.2210406504,408955.5388341544,366189.48945723684
Cyprus,341633.5837878788,394103.9502800659,404523.22096091206,446858.98861157027
Czech Republic,376242.94386623165,370165.4464820847,446941.4775737705,414426.13217537943
Democratic Republic of the Congo,376979.24411371234,354363.49780984723,428381.3949407783,415357.16979729733
Denmark,382769.3160232945,336348.0909784412,427619.24443521595,391703.8168781302
Djibouti,427381.5575496689,373942.8996160267,411428.163338843,366454.1015640599
Dominica,432901.2379124579,387156.8319430486,397356.3289108911,336761.79577302636
Dominican Republic,442023.2947058824,422158.60397058824,368324.00598373986,374500.581703204
East Timor,337656.02395,405779.6513101161,394145.6971308725,444140.2046283784
Egypt,353097.34106135985,390323.39026534,408980.8101490066,444541.572687813
El Salvador,402669.7536318408,444778.1437855947,338798.637006689,401977.80163636367
Equatorial Guinea,429107.5176785714,386423.6228336079,376562.4376694215,358373.0641293532
Eritrea,424455.4656957929,427627.03189456346,375599.78572379367,340845.4784400657
Estonia,395724.6674290484,344012.02478547854,419684.0021052632,368599.3204297521
Ethiopia,426185.7295134228,439840.9449496644,340255.8291568297,399046.02750410506
