,Total Profit,Total Profit,Total Profit,Total Profit
Order Priority,C,H,L,M
Country,,,,
Afghanistan,225441455.4,220201588.9,235514983.01,255446042.19
Albania,255226116.26,257365334.44,214989034.7,218355234.43
Algeria,208323335.58,228058855.15,245042109.45,249286118.04
Andorra,236255617.07,266118904.49,213033766.57,239089729.18
Angola,224188156.0,263526312.96,210266275.8,260717247.98
Antigua and Barbuda ,257869848.55,217431464.61,249328832.53,224197253.4
Armenia,222614459.89000002,239612167.49,222856042.47,260954318.4
Australia,229515570.17,198306500.11,254523990.17,227694141.66
Austria,197087639.49,238885025.77,237092306.77,248501288.61
Azerbaijan,237164052.02,217350721.1,271461155.82,258509130.71
Bahrain,248513148.83,206509487.17,259044907.27,233330022.67
Bangladesh,221665515.37,233612031.49,248542256.38,263263305.38
Barbados,266835273.63,209940974.19,239059267.28,220148003.77
Belarus,216359470.22,227635035.39,240558780.25,262652985.66
Belgium,203629298.41,234767787.13,226545679.33,262388612.77
Belize,259055431.98,253134137.24,236099283.44,213398277.87
Benin,232721296.76,254330202.97,193339394.65,249483609.35
Bhutan,229635236.63,214683061.34,263024385.24,241396255.16
Bosnia and Herzegovina,221346954.34,228977082.78,245127581.54,268705379.21
Botswana,219635242.79,272796446.45,214877525.09,239830604.48
Brunei,242746440.32,209346359.24,265788014.72,234222689.19
Bulgaria,210915047.18,215551334.02,253885455.15,243812141.91
Burkina Faso,218175054.18,264532298.64000002,223890807.07,263916553.52
Burundi,206163678.74,220751535.35999998,245583879.67,279504923.96
Cambodia,258023040.37,216288917.38,248416222.43,211238783.77
Cameroon,207838395.71,215594627.7,251463683.04,243070295.12
Canada,204564494.54,243645288.02,250858460.19,257972635.67
Cape Verde,233282470.24,198821086.36,260476390.93,243735672.25
Central African Republic,258783435.91,212192438.41,262550948.4,238313939.5
Chad,234907061.11,204099325.42,268019453.23,244852040.45
China,276719449.99,241725101.0,236601297.81,214718606.4
Comoros,235592727.21,207536692.89,244617292.56,226659607.21
Costa Rica,253955325.84,251151660.57,214040533.06,217581450.64
Cote d'Ivoire,247546837.53,254281766.97,215560217.98,222887531.93
Croatia,237208774.23,204122301.01,272347024.38,234708110.91
Cuba,238604359.75,270948589.07,209506665.41,244233552.09
Cyprus,258298656.67,212533882.29,248611711.73,214029867.84
Czech Republic,267178133.0,234748146.69,247414010.92,202239285.41
Democratic Republic of the Congo,267455219.82,229143368.28,231877582.43,213091951.36
Denmark,270572244.16,232780877.23,233576516.7,213997465.61
Djibouti,236959042.11,265852720.24,209938749.47,249556308.45
Dominica,216003627.21,259176415.14000002,239759283.0,257112960.0
Dominican Republic,222190862.42,237513834.29,203671814.63,252888789.77
East Timor,237768830.16,209094501.99,259163182.52,249681587.64
Egypt,253602026.77,232604268.79,255908275.58,209164472.34
El Salvador,221343149.63,256595619.85,210192166.48,239751210.55
Equatorial Guinea,226357569.88,252711064.69,207669787.77,259476350.19
Eritrea,235421733.64,270999255.02,204407945.5,244218524.81
Estonia,271550416.69,236320622.55,256036603.34,202634782.61
Ethiopia,225097217.28,243176172.38,200227934.74,257830743.0
Federated States of Micronesia,277572559.15,244636935.88,232336444.16,202389261.18
Fiji,230859765.18,222474250.63,264444071.54,245407850.35999998
Finland,256594469.25,225739557.94,227230058.05,209940062.8
France,254216846.3,258496815.48,219197600.92,221628214.51
Gabon,215409604.81,263713112.27,229394332.11,261810197.7
Georgia,238874220.92000002,278563822.58,215725118.8,245101672.07
Germany,219015957.9,239624661.3,213489323.6,258926004.49
Ghana,209306370.87,217486528.68,243811144.41,254376450.02
Greece,213020091.45,235236729.58,231166742.76,261621069.16
Greenland,225411909.89,214149863.48,247878289.27,255003852.16
Grenada,212528782.68,248481320.51,232159204.96,272189633.93
Guatemala,200775004.75,226963585.53,237097907.24,267135859.3
Guinea,223417723.84,208227475.51,271107852.41,233212274.24
